Participant ID,Trial,Total Pot,Individual Offer,Opponent Offer,Model Decision,Utility,Accept Probability,Expected Proportion
1008,31,15,6.0,9.0,Accept,5.59,1.0,0.29
1008,32,6,1.8,4.2,Accept,1.67,0.84,0.32
1008,33,12,4.2,7.8,Accept,4.1,0.98,0.32
1008,37,15,5.25,9.75,Accept,5.16,0.99,0.33
1008,38,9,2.25,6.75,Accept,1.57,0.83,0.33
1008,39,15,3.0,12.0,Accept,1.53,0.82,0.31
1008,40,15,6.0,9.0,Accept,5.53,1.0,0.28
1008,41,9,2.25,6.75,Accept,1.74,0.85,0.31
1008,42,6,2.4,3.6,Accept,2.24,0.9,0.29
1008,45,15,1.5,13.5,Reject,-1.55,0.18,0.33
1008,48,9,2.7,6.3,Accept,2.61,0.93,0.26
1008,49,12,4.2,7.8,Accept,3.96,0.98,0.27
1009,1,12,4.2,7.8,Accept,2.58,0.93,0.5
1009,2,9,2.25,6.75,Accept,0.59,0.64,0.46
1009,3,12,2.4,9.6,Reject,0.31,0.58,0.39
1009,4,18,5.4,12.6,Accept,4.83,0.99,0.34
1009,5,6,1.2,4.8,Reject,0.53,0.63,0.32
1009,6,9,1.8,7.2,Accept,1.09,0.75,0.29
1009,7,6,1.8,4.2,Accept,1.74,0.85,0.26
1009,8,15,5.25,9.75,Accept,4.96,0.99,0.27
1009,9,15,3.0,12.0,Accept,1.7,0.85,0.3
1009,10,18,9.0,9.0,Accept,7.95,1.0,0.27
1009,12,15,1.5,13.5,Reject,-1.7,0.15,0.34
1009,13,12,1.2,10.8,Accept,-0.59,0.36,0.27
1009,15,9,4.5,4.5,Accept,3.86,0.98,0.22
1009,16,15,6.0,9.0,Accept,5.63,1.0,0.3
1009,17,9,2.7,6.3,Accept,2.45,0.92,0.33
1009,19,15,1.5,13.5,Accept,-1.49,0.18,0.32
1009,20,9,2.7,6.3,Accept,2.6,0.93,0.26
1009,21,12,4.8,7.2,Accept,4.41,0.99,0.27
1009,22,9,1.8,7.2,Accept,0.93,0.72,0.31
1009,23,9,2.25,6.75,Accept,2.04,0.89,0.28
1009,24,15,3.75,11.25,Accept,3.51,0.97,0.27
1009,25,15,5.25,9.75,Accept,4.92,0.99,0.26
1009,26,12,3.0,9.0,Accept,2.58,0.93,0.29
1009,27,9,3.6,5.4,Accept,3.32,0.97,0.28
1009,30,9,3.6,5.4,Accept,3.41,0.97,0.31
1009,33,15,6.0,9.0,Accept,5.77,1.0,0.34
1009,35,9,4.5,4.5,Accept,4.18,0.98,0.36
1009,36,6,2.4,3.6,Accept,2.4,0.92,0.4
1009,38,15,5.25,9.75,Accept,4.57,0.99,0.4
1009,39,15,5.25,9.75,Accept,4.77,0.99,0.39
1009,41,15,3.75,11.25,Accept,2.07,0.89,0.37
1009,42,15,3.0,12.0,Accept,1.15,0.76,0.34
1009,43,9,2.7,6.3,Accept,2.69,0.94,0.3
1009,46,18,4.5,13.5,Accept,3.73,0.98,0.3
1009,49,9,2.7,6.3,Accept,2.66,0.93,0.28
1009,51,12,4.2,7.8,Accept,4.01,0.98,0.29
